Model,Mean_F1_Score,Std_Dev_F1,Rank,Mean_Fit_Time_sec,C,solver
Logistic Regression,0.9656536470033794,0.000936382165500962,1,277.12627569834393,0.1,saga
Logistic Regression,0.9650824563416288,0.0011362803163201395,2,22.1363042195638,0.1,lbfgs
Logistic Regression,0.9646727638900844,0.0004738957941648797,3,460.1174509525299,1.0,saga
Logistic Regression,0.9644463577589423,0.00029068235444119553,4,476.37231373786926,10.0,saga
Logistic Regression,0.957704363665491,0.0009015124488429994,5,26.907897631327312,1.0,lbfgs
Logistic Regression,0.949233380545862,0.0017742755400772736,6,42.01860451698303,10.0,lbfgs
